Date,Cashflow
06/12/2022,-93.80
07/12/2022,-93.80
08/12/2022,-93.80
09/12/2022,-93.80
12/12/2022,-93.80
13/12/2022,-93.80
14/12/2022,-93.80
15/12/2022,-93.80
16/12/2022,-93.80
19/12/2022,-93.80
20/12/2022,-93.80
21/12/2022,-93.80
22/12/2022,-93.80
23/12/2022,-93.80
26/12/2022,-93.80
27/12/2022,-93.80
28/12/2022,-93.80
29/12/2022,-93.80
30/12/2022,-93.80
02/01/2023,-93.80
03/01/2023,-93.80
04/01/2023,-93.80
05/01/2023,-93.80
06/01/2023,-93.80
09/01/2023,-93.80
10/01/2023,-93.80
11/01/2023,-93.80
12/01/2023,-93.80
13/01/2023,-93.80
16/01/2023,-93.80
17/01/2023,-93.80
18/01/2023,-93.80
19/01/2023,-93.80
20/01/2023,-93.80
23/01/2023,-93.80
24/01/2023,-93.80
25/01/2023,-93.80
27/01/2023,-93.80
30/01/2023,-93.80
31/01/2023,-93.80
01/02/2023,-93.80
02/02/2023,-93.80
03/02/2023,-93.80
06/02/2023,-93.80
07/02/2023,-93.80
08/02/2023,-643.55
09/02/2023,-1194.35
10/02/2023,-1194.35
13/02/2023,-1194.35
14/02/2023,-1194.35
15/02/2023,-1194.35
16/02/2023,-1194.35
17/02/2023,-1194.35
20/02/2023,-1194.35
21/02/2023,-1194.35
22/02/2023,-678.00
23/02/2023,-678.00
24/02/2023,-678.00
27/02/2023,-678.00
28/02/2023,-678.00
01/03/2023,-678.00
02/03/2023,-678.00
03/03/2023,-678.00
06/03/2023,-678.00
08/03/2023,-678.00
09/03/2023,-678.00
10/03/2023,-678.00
13/03/2023,-678.00
14/03/2023,-678.00
15/03/2023,-160.45
16/03/2023,-160.45
17/03/2023,-160.45
20/03/2023,-160.45
21/03/2023,-160.45
22/03/2023,-160.45
23/03/2023,-160.45
24/03/2023,-160.45
27/03/2023,-160.45
28/03/2023,-160.45
29/03/2023,-160.45
31/03/2023,-160.45
03/04/2023,-160.45
05/04/2023,-160.45
06/04/2023,-160.45
10/04/2023,-160.45
11/04/2023,-160.45
12/04/2023,-160.45
13/04/2023,-160.45
17/04/2023,-160.45
18/04/2023,-160.45
19/04/2023,-160.45
20/04/2023,-160.45
21/04/2023,-160.45
24/04/2023,-160.45
25/04/2023,-160.45
26/04/2023,-160.45
27/04/2023,-160.45
28/04/2023,-160.45
02/05/2023,-160.45
03/05/2023,-160.45
04/05/2023,-160.45
05/05/2023,-160.45
